posted_speed_limit,weather_condition,lighting_condition,alignment,roadway_surface_cond,num_units,crash_hour,crash_day_of_week,crash_month,sex,age,serious_accident
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,1,2,0,53.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,1,20,1,1,1,34.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,12,7,5,1,33.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,5,5,1,19.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,19,5,4,1,51.0,0
30,CLEAR,DARKNESS,STRAIGHT AND LEVEL,UNKNOWN,2,22,6,7,1,24.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,4,9,0,43.0,0
30,RAIN,DUSK,STRAIGHT AND LEVEL,WET,2,21,3,8,1,29.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,12,3,8,1,24.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,5,9,0,49.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,2,10,1,27.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,16,2,8,0,23.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,3,4,1,47.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,2,4,0,31.0,0
15,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,1,10,6,8,1,45.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,7,5,1,57.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,7,9,0,22.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,9,1,21.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,4,6,0,40.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,2,2,1,26.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,8,4,4,1,53.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,11,7,4,1,19.0,0
25,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,19,6,11,0,49.0,0
30,RAIN,DARKNESS,STRAIGHT AND LEVEL,WET,2,23,7,10,1,45.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,13,5,5,0,16.0,0
30,CLEAR,DARKNESS,"CURVE, LEVEL",DRY,2,22,6,7,1,68.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,1,11,1,29.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,7,3,8,0,31.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,20,6,7,1,27.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,16,3,12,1,58.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,4,9,1,20.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,7,9,1,50.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,3,2,0,43.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,4,11,0,37.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,WET,2,16,4,6,1,41.0,0
25,CLEAR,DARKNESS,STRAIGHT AND LEVEL,DRY,2,0,1,5,0,20.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,UNKNOWN,2,17,5,11,1,33.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,5,3,1,24.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,10,3,7,1,41.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,ICE,2,8,3,3,0,47.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,16,6,6,0,45.0,0
30,SNOW,DAYLIGHT,STRAIGHT AND LEVEL,SNOW OR SLUSH,2,15,3,3,1,39.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,3,12,0,60.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,4,3,1,50.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,11,2,11,1,74.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,6,12,1,17.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,6,7,1,56.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,6,3,0,34.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,4,10,0,21.0,0
10,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,21,7,8,0,39.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,16,1,10,1,50.0,0
30,RAIN,DAYLIGHT,STRAIGHT AND LEVEL,WET,4,17,3,4,0,32.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,6,6,9,1,19.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,7,9,1,48.0,0
0,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,3,12,1,19.0,0
35,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,13,6,4,1,20.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,0,3,4,1,30.0,0
30,CLEAR,DAYLIGHT,"CURVE, LEVEL",DRY,2,18,5,5,1,34.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,5,2,1,46.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,3,20,3,8,1,16.0,1
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,5,8,0,53.0,0
30,CLEAR,DAWN,STRAIGHT AND LEVEL,DRY,2,20,2,11,0,32.0,0
0,RAIN,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,19,7,4,0,34.0,0
20,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,18,5,6,0,26.0,0
30,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,16,6,1,1,29.0,0
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,3,8,4,7,1,41.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,2,21,6,11,1,36.0,0
15,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,3,6,1,17.0,0
25,CLEAR,DUSK,STRAIGHT AND LEVEL,DRY,2,15,4,4,1,23.0,0
30,SNOW,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,WET,1,0,7,2,1,31.0,1
25,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,6,4,0,63.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,12,4,7,0,80.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,22,7,7,0,20.0,0
30,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,23,4,12,0,17.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,15,6,9,1,35.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,9,3,6,1,35.0,0
35,CLEAR,"DARKNESS, LIGHTED ROAD",STRAIGHT AND LEVEL,DRY,2,17,5,1,1,71.0,0
30,CLEAR,DAYLIGHT,STRAIGHT AND LEVEL,DRY,2,14,7,5,1,41.0,0
